name,category,place,address,phone,description,summary,hours,attributes,services,rating,rating_count,rating_source
Гостилница Сокаче 2018,restorani,Прилеп,"Јане Сандански","+389 48 455 455","Традиционална гостилница со скара и салати. Локалниот специјалитет ширден е меѓу најпрепорачуваните јадења. Дел од персоналот зборува англиски.","Гостилницата со најмногу рецензии во Прилеп. Печените лути пиперки се посебно фалени и од странски гости. Атмосферата е неформална и погодна за поголемо друштво.","Работното време не е наведено на Гугл, па препорачливо е да се јави претходно.",,skara:400-800,"4,7",,google
Гостилница Изгрев,restorani,Прилеп,"ул. Јане Сандански 1","+389 48 435 300","Семејна гостилница со скара и мени на англиски јазик.","Меѓу највисоко оценетите во Прилеп. Сопственикот е редовно спомнуван како исклучително љубезен. Порциите се големи и состојките свежи; дел од гостите забележуваат дека сиренето на скара знае да биде пресолено.",Од понеделник до сабота работи од 08:00 до 24:00. Во недела работи од 08:00 до 15:00.,,skara:400-800,"4,8",,google
Гостилница Стара Табана,restorani,Прилеп,"ул. Јошка Јорданоски 38","+389 48 410 450","Мала семејна гостилница со скара, свежи салати, супи и традиционални јадења како ширден.","Гостите ја опишуваат посетата како одење кај пријатели. Лебот е свеж, а печените компири и сосовите се меѓу најфалените додатоци. Услугата се смета за една од најдобрите во градот според странските посетители.",Од понеделник до петок работи од 10:00 до 24:00. Во сабота отвора во 09:00. Во недела е затворено.,,skara:400-800,"4,8",,google
Порта Клуб,restorani,Прилеп,"ул. Републиканска 114","+389 48 424 240","Понов ресторан со голем број маси, погоден за групи и подолги вечери.","Салатите се секогаш свежи, а месото сочно според најголемиот дел од рецензиите. Брзо се полни, па резервацијата е препорачлива. Дел од гостите пријавуваат неконзистентност кај бургерите и прилозите.",Од понеделник до четврток работи од 12:00 до 24:00. Во петок и сабота останува отворено до 01:00. Во недела работи од 12:00 до 24:00.,kartichki,ruchek:500-900,"4,4",,google
Monarca Gastrobar,kafulinja,Прилеп,"Орде Кабецо","+389 48 480 007","Гастробар што работи од раните утрински часови и нуди појадок покрај главните јадења, пици и десерти. Плаќањето со картичка е овозможено.","Најсовремениот угостителски објект во градот. Порциите се големи и цените пристапни, а персоналот зборува англиски. Слабости што се повторуваат се пушењето внатре и неконзистентниот квалитет на дел од јадењата.",Работи секој ден од 08:30 до 01:00.,kartichki,po-lice:450-850,"4,3",,google
Нецко 2,restorani,Штип,"центар","+389 78 368 990","Традиционално мени сервирано во форма на весник; пастрмајлијата е главниот специјалитет. Има сопствен паркинг и сместување со појадок.","Ресторанот со најмногу рецензии во Штип и место што локалните го сметаат за најдобро за пастрмајлија. Храната е домашна и свежа, а цените пристапни за квалитетот.",Од понеделник до сабота работи од 08:00 до 24:00. Во недела е затворено.,parking,skara:400-800,"4,6",,google
Воденицата Кај Јове,restorani,Штип,"ул. Брегалничка 1","+389 78 389 210","Семеен ресторан покрај реката Брегалница со тераса и голем паркинг, во близина на Сити Мол.","Отворен од поранешните сопственици на Меана За Мерак. Храната, музиката и амбиентот се оценети како рамномерно високи; гостите често пишуваат дека нивото на услуга е повисоко и од дел од скопските ресторани.",Од понеделник до сабота работи од 12:00 до 24:00. Во недела е затворено.,parking|terasa,ruchek:600-1100,"4,7",,google
Штипска Куќа Пастрма,restorani,Штип,"ул. Вељко Влаховиќ 2","+389 72 249 680","Традиционална македонска кафеана со пастрмајлија како главен специјалитет и жива музика. Има детско игралиште.","Атмосферата е топла и неформална, а гостите често остануваат до доцна. Има случаи каде резервацијата преку телефон не била испочитувана, па потврдете директно на лице место.",Во понеделник е затворено. Од вторник до четврток работи од 08:00 до 24:00. Во петок и сабота останува отворено до 01:00. Во недела работи од 08:00 до 24:00.,za-deca,skara:400-800,"4,5",,google
HighlightS Restaurant & Bar,restorani,Штип,"Вељко Влаховиќ","+389 74 241 111","Елегантен ресторан со поглед врз градот. При влезот гостите ги пречекува хостеса.","Најдобро оценетиот ресторан во Штип и место резервирано за посебни поводи. Јадењата се фино приготвени и креативно сервирани. Масите до прозорците се во делот за пушачи, па наведете ја желбата при резервација неколку дена однапред.",Од понеделник до петок работи од 09:00 до 23:45. Во сабота останува отворено до 00:45. Во недела е затворено.,kartichki,ruchek:700-1300,"4,9",,google
Ресторан Амбиент,restorani,Штип,"село Пишица","+389 76 358 888","Голем ресторан околу 15 км северно од Штип, со уредени градини, езерца, детско игралиште и животни во дворот.","Едно од најпосетуваните места во источниот дел на државата, со над четири илјади рецензии. Цените се ниски за она што се добива, а десертите и кафето се особено фалени. За викенд треба однапред да се резервира маса на терасата.",Од понеделник до четврток работи од 12:00 до 22:00. Во петок и сабота останува отворено до 24:00. Во недела работи од 12:00 до 22:00.,parking|terasa|za-deca,ruchek:450-850,"4,8",,google
Тивко Катче,restorani,Гостивар,"Кеј Вардар 3","+389 42 273 914","Локален ресторан со автентична македонска храна: печени печурки, тиквички, модар патлиџан, ајвар и домашно свежо сирење. Менито е само на македонски јазик.","Особено погоден за вегетаријанци, што е реткост во градот. Сопственикот е исклучително гостопримлив, иако не зборува англиски. До ресторанот се пристапува зад зградите на улицата, што го прави тежок за наоѓање.",Од понеделник до петок работи од 09:00 до 24:00. Во сабота отвора во 11:00. Во недела е затворено.,,ruchek:350-700,"4,7",,google
Te Haruni,restorani,Гостивар,"Западно од Гостивар кон патот за Маврово","+389 70 984 982","Ресторан западно од градот, погоден за семејни прослави и родендени.","Често опишуван како најдобриот и најуредниот ресторан во Гостивар; подот се чисти по заминувањето на секој гостин. Односот меѓу цената и количината е меѓу најдобрите во регионот, а голем дел од гостите се враќаат по повеќе пати.",Работи секој ден од 08:00 до 24:00.,parking,ruchek:450-900,"4,7",,google
Дабов Лад,restorani,Гостивар,"Источно од Гостивар","+389 70 215 544","Ресторан надвор од градот, познат првенствено по свинското месо.","Гостите го оценуваат како едно од најдобрите места за месо во целата држава. Цените се вообичаени за регионот и не се преценети во однос на квалитетот.",Во понеделник е затворено. Од вторник до четврток работи од 13:00 до 23:00. Од петок до недела останува отворено до 24:00.,parking,skara:450-900,"4,7",,google
Гури,restorani,Гостивар,"Патот Вранјовце до Дебреше","+389 70 837 204","Неодамна отворен ресторан северно од градот, на патот кон Дебреше.","Управата е пофалена како љубезна и внимателна, со помош при изборот на јадења. Десертите, вклучувајќи ја дубајската торта, се меѓу најспомнуваните ставки. Бројот на рецензии е сè уште мал, па оценката не е толку стабилна како кај постарите ресторани.",Работи секој ден од 12:30 до 24:00.,parking,ruchek:450-900,"4,6",,google
La Luna,picerii,Гостивар,"Кочо Зози","+389 70 788 770","Ресторан со италијански уклон, најсилен во пиците и бургерите. Има дел за непушачи, а водата се служи бесплатно.","Тестото и состојките се фалени, а изгледот на локалот е пријатен и модерен. Според поновите рецензии не се примаат картички и понекогаш недостасуваат ставки од менито, па подгответе готовина.","Работното време не е наведено на Гугл, па препорачливо е да се јави претходно.",,pica-golema:350-700,"4,7",,google
